"Movie","Release Date","Distribution","Domestic","Inflation Domestic","International","Inflation International","Worldwide","Inflation Worldwide","Opening Weekend","Inflation Opening Weekend","Budget","Inflation Budget","Run Time","IMDb Score","Meta Score","Tomato Meter","Tomato Audience","Director","Franchise"
"Alien 3","5/22/1992","20th Century Fox","54,927,174","139,369,425","103,572,826","262,800,435","158,500,000","402,169,860","23,141,188","58,717,277","55,000,000","139,554,210","114","6.4","59","48","47","David Fincher","Alien"
"Alien Resurrection","11/26/1997","20th Century Fox","47,795,018","109,566,387","112,904,982","258,825,950","160,700,000","368,392,337","16,474,092","37,765,583","60,000,000","137,545,366","109","6.2","63","53","39","Jean-Pierre Jeunet","Alien"
"Prometheus","6/8/2012","20th Century Fox","126,477,084","167,312,012","275,971,181","365,072,407","402,448,265","532,384,419","51,050,101","67,532,353","125,000,000","165,358,030","124","7","64","73","68","Ridley Scott","Alien"
"Alien: Covenant","5/19/2017","20th Century Fox","74,262,031","87,177,164","164,259,216","192,826,030","238,521,247","280,003,194","36,160,621","42,449,423","97,000,000","113,869,562","122","6.4","65","65","55","Ridley Scott","Alien"
"Predator","6/12/1987","20th Century Fox","59,735,548","160,873,475","38,532,010","103,770,344","98,267,558","264,643,819","12,031,638","32,402,338","18,000,000","48,475,701","107","7.8","47","80","87","John McTiernan","Predator"
"Predator 2","11/21/1990","20th Century Fox","28,317,513","70,664,892","26,450,905","66,006,868","54,768,418","136,671,760","8,784,943","21,922,372","35,000,000","87,340,693","108","6.3","46","30","44","Stephen Hopkins","Predator"
"Predators","7/9/2010","20th Century Fox","52,000,688","69,400,155","75,233,701","100,406,951","127,234,389","169,807,106","24,760,882","33,045,891","40,000,000","53,384,028","107","6.4","51","65","52","Nimrod Antal","Predator"
"The Predator","9/14/2018","20th Century Fox","51,024,708","58,978,067","108,462,855","125,369,253","159,487,563","184,347,320","24,632,284","28,471,785","88,000,000","101,716,798","107","5.3","48","34","32","Shane Black","Predator"
"Alien vs. Predator","8/13/2004","20th Century Fox","80,281,096","136,128,807","92,262,423","156,444,969","172,543,519","292,573,776","38,291,056","64,928,309","70,000,000","118,695,645","101","5.7","29","22","39","Paul W. S. Anderson","Alien, Predator"
"Aliens vs. Predator: Requiem","12/25/2007","20th Century Fox","41,797,066","63,248,003","87,087,428","131,782,119","128,884,494","195,030,122","10,059,425","15,222,086","40,000,000","60,528,653","94","4.6","29","12","30","Greg Strause, Colin Strause","Alien, Predator"
"The Purge","6/7/2013","Universal Pictures","64,473,115","83,505,764","26,793,466","34,702,974","91,266,581","118,208,738","34,058,360","44,112,486","3,000,000","3,885,609","85","5.7","41","40","36","James DeMonaco","The Purge"
"The Purge: Anarchy","7/18/2014","Universal Pictures","71,562,550","92,234,229","39,972,331","51,518,806","111,534,881","143,753,035","29,816,675","38,429,570","9,000,000","11,599,755","103","6.4","50","58","56","James DeMonaco","The Purge"
"The Purge: Election Year","7/1/2016","Universal Pictures","79,042,440","96,221,603","39,472,287","48,051,233","118,514,727","144,272,836","31,515,110","38,364,636","10,000,000","12,173,410","108","6","55","55","48","James DeMonaco","The Purge"
"The First Purge","7/4/2018","Universal Pictures","69,488,745","80,320,144","67,565,852","78,097,524","137,054,597","158,417,668","17,374,280","20,082,456","13,000,000","15,026,345","97","5.2","54","55","27","Gerard McMurray","The Purge"
"The Forever Purge","7/2/2021","Universal Pictures","44,539,245","45,095,989","32,411,280","32,816,424","76,950,525","77,912,413","12,551,220","12,708,111","18,000,000","18,225,001","103","5.4","53","49","78","Everardo Gout","The Purge"
"The Blair Witch Project","7/14/1999","Artisan Entertainment","140,539,099","291,314,303","107,760,901","223,370,521","248,300,000","514,684,824","1,512,054","3,134,238","600,000","1,243,701","81","6.5","80","86","57","Daniel Myrick, Eduardo Sanchez","The Blair Witch"
"Book of Shadows: Blair Witch 2","10/27/2000","Artisan Entertainment","26,421,314","51,617,144","21,300,000","41,612,055","47,721,314","93,229,199","13,223,887","25,834,418","15,000,000","29,304,264","90","4","15","14","18","Joe Berlinger","The Blair Witch"
"Blair Witch","9/16/2016","Lionsgate","20,777,061","25,292,765","18,208,516","22,165,970","38,985,577","47,458,735","9,576,057","11,657,325","10,000,000","12,173,408","89","5","47","38","31","Adam Wingard","The Blair Witch"
"Poltergeist (1982)","6/4/1982","MGM/UA Entertainment Co.","74,706,019","267,569,511","47,000,000","168,336,731","121,706,019","435,906,242","6,896,612","24,701,130","10,700,000","38,323,469","114","7.3","79","88","79","Tobe Hooper","Poltergeist"
"Poltergeist II: The Other Side","5/23/1986","MGM Entertainment Co.","40,996,665","116,359,806","","","40,996,665","116,359,806","12,357,190","35,073,102","19,000,000","53,927,223","91","5.7","49","20","35","Brian Gibson","Poltergeist"
"Poltergeist III","6/10/1988","MGM/UA Communications Co.","14,114,000","36,160,683","","","14,114,000","36,160,683","4,344,308","11,130,306","9,500,000","24,339,414","98","4.7","40","16","22","Gary Sherman","Poltergeist"
"Poltergeist (2015)","5/22/2015","Metro-Goldwyn-Mayer, Fox 2000 Pictures","47,425,125","59,239,211","48,266,607","60,290,315","95,691,732","119,529,526","22,620,386","28,255,357","35,000,000","43,718,860","93","4.9","47","29","22","Gil Kenan","Poltergeist"
"The Grudge (2004)","10/22/2004","Columbia Pictures","110,359,362","187,131,083","76,921,753","130,432,531","187,281,115","317,563,614","39,128,715","66,348,687","10,000,000","16,956,521","91","5.9","49","41","46","Takashi Shimizu","The Grudge"
"The Grudge 2","10/13/2006","Columbia Pictures","39,143,839","62,928,944","31,600,000","50,801,216","70,743,839","113,730,160","20,825,300","33,479,448","20,000,000","32,152,669","102","5","33","12","40","Takashi Shimizu","The Grudge"
